molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL4574766,O=C1c2ccccc2C(=O)N1Cc1cn(CC2CCN(Cc3ccccc3)CC2)nn1,IC50,'=',4900.0,nM,5.31,CHEMBL4424916
CHEMBL3323039,CCN(CC)CCCOc1ccc2nc3n(c(=O)c2c1)Cc1ccccc1-3,IC50,'=',200.91,nM,6.7,CHEMBL3369130
CHEMBL3597005,COC(=O)C1=C(Nc2ccc(Br)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(Br)cc2)[C@@H]1c1ccc(C)cc1,IC50,'=',2477.42,nM,5.61,CHEMBL3599183
CHEMBL3597008,CCOC(=O)C1=C(Nc2ccc(OC)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(OC)cc2)[C@@H]1c1ccc(C)cc1,IC50,'=',4977.37,nM,5.3,CHEMBL3599183
CHEMBL3597055,COC(=O)C1=C(Nc2ccc(F)cc2)C[C@@H](c2ccccc2)N(c2ccc(F)cc2)[C@@H]1c1ccccc1,IC50,'=',15135.61,nM,4.82,CHEMBL3599183
CHEMBL3597056,CCOC(=O)C1=C(Nc2ccc(F)cc2)C[C@@H](c2ccc(Cl)cc2)N(c2ccc(F)cc2)[C@@H]1c1ccc(Cl)cc1,IC50,'=',549.54,nM,6.26,CHEMBL3599183
CHEMBL106126,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,IC50,'=',17000.0,nM,4.77,CHEMBL643384
CHEMBL4070182,COc1ccc(CNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1OC,IC50,'=',800.0,nM,6.1,CHEMBL4017987
CHEMBL4075061,Clc1ccc2c(NCc3ccccn3)c3c(nc2c1)CCCC3,IC50,'=',90.0,nM,7.05,CHEMBL4017987
CHEMBL5557329,COc1cc2ncnc(N3CCN(c4ccccc4)CC3)c2cc1OC,IC50,'=',1006.0,nM,6.0,CHEMBL5502544
CHEMBL5559310,COc1cc2ncnc(N3CCN(c4ccccn4)CC3)c2cc1OC,IC50,'=',1148.0,nM,5.94,CHEMBL5502544
CHEMBL5559245,COc1cc2ncnc(N3CCN(Cc4ccc(Cl)cc4)CC3)c2cc1OC,IC50,'=',921.0,nM,6.04,CHEMBL5502544
CHEMBL5532614,COc1cc2ncnc(N3CCN(c4ccccc4[N+](=O)[O-])CC3)c2cc1OC,IC50,'=',914.0,nM,6.04,CHEMBL5502544
CHEMBL456881,O=c1c2ccccc2nc2n1CCC2,IC50,'=',35160.0,nM,4.45,CHEMBL5502615
CHEMBL3948367,COc1ccc(/C=C/C(=O)c2cccc(OC(=O)N(C)C)c2)cc1,IC50,'=',8050.0,nM,5.09,CHEMBL3869993
