canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
C/C=C1\[C@H]2C=C(C)C[C@]1(NC1OCC3=C4CC(C)(C)C[C@H]4[C@@H](C)[C@H](O)CC31O)c1ccc(=O)[nH]c1C2,118715261,492.6,1.2,90.8,4,5,2
C/C=C1\[C@H]2C=C(C)C[C@]1(N[C@H]1OC(=O)C3=C4CC(C)(C)C[C@H]4[C@@H](C)[C@@H](O)C[C@]31O)c1ccc(=O)[nH]c1C2,118715260,506.6,1.5,108.0,4,6,2
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,5983,275.35,0.7,44.8,1,4,2
CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1[N+](=O)[O-])Cc1ccccc1[N+](=O)[O-],11007082,725.0,7.2,139.0,0,8,27
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1C2,44281479,344.5,5.2,41.6,1,3,8
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,10765787,446.5,4.4,77.1,1,6,9
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccccc3c2)c1.Cl,45261805,414.9,,50.8,2,4,9
CC1=N[C@H]2CC=C3C[C@H]4C(=O)C[C@]5(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]5(C)[C@@H]4CC[C@H]3[C@]2(C)CO1,23635748,456.7,3.4,62.1,1,5,2
COc1ccccc1CN(C)CCCOc1ccc2c(=O)c3ccccc3oc2c1,44421973,403.5,4.8,48.0,0,5,8
Nc1c2c(nc3ccccc13)CCC(O)C2,179849,214.26,1.6,59.1,2,3,0
CC[N+](CC)(CC)CCOc1ccc(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1.Cl.[Br-],23657682,691.1,,92.4,4,6,16
Clc1ccc2c(NCc3ccccc3)c3c(nc2c1)CCCC3,10711007,322.8,5.5,24.9,1,2,3
Nc1c2c(nc3cc(F)ccc13)-c1ccccc1C2,23644785,250.27,3.3,38.9,1,3,0
COc1ccc(C2c3ccc4ccccc4c3Oc3nc4c(c(N)c32)CCCC4)c(OC)c1,66573530,438.5,5.9,66.6,1,5,3
CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,10110147,377.5,3.8,58.4,1,4,6
CC[N+](CC)(CC)CCOc1ccc(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1.Cl.[Br-],23657682,691.1,,92.4,4,6,16
C(=C/C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12,9901561,318.4,4.5,29.3,0,3,4
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,5281614,286.24,2.0,107.0,4,6,1
CCOc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1,9638193,380.5,2.9,,1,5,8
COc1ccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)cc1OC,9625548,396.5,2.5,66.4,1,6,8
Nc1c2c(nc3ccccc13)CCCC2,1935,198.26,2.7,38.9,1,2,0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCCC3,76326038,393.5,3.9,86.5,2,6,5
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(F)cc1)CCCC3,76333289,381.4,4.0,77.2,2,6,4
CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccncc1)CCCC3,76333293,365.4,2.8,87.3,1,6,4
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCC3,44445173,375.5,4.8,78.1,1,5,4
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(OC)cc1)CCCCCC3,76333292,419.5,5.3,87.3,1,6,5
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1OC)CCCCC3,76326040,405.5,4.8,87.3,1,6,5
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(C)cc1)CCCCC3,76326039,389.5,5.2,78.1,1,5,4
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccncc1)CCCC3,44445184,362.4,3.2,91.0,1,6,4
COc1cc2c(cc1O)CCC(C)(CC(=O)NCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,162674899,608.2,8.3,92.7,3,6,14
COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,162666475,594.2,8.9,75.6,3,6,15
NS(=O)(=O)c1ccc(NC(=S)NCCN2CCCCC2)cc1,1245748,342.5,1.0,128.0,3,5,5
COc1ccccc1NC(=S)NCCN1CCCCC1.Cl,137640604,329.9,,68.6,3,3,5
O=C(NCC1CCN(Cc2cccc(F)c2)CC1)c1cncc(NC(=O)c2ccnc(NC(=O)C3CC3)c2)c1,164625588,530.6,2.2,116.0,3,7,9
CN1C(=O)C2CN(C)C3(C(=O)c4ccccc4C3=O)C2C1=O,137642279,298.29,0.1,74.8,0,5,0
COc1ccc(N2C(=O)C3CN(C)C4(C(=O)c5ccccc5C4=O)C3C2=O)cc1,137638431,390.4,1.7,84.0,0,6,2
CC(C)c1ccc(N2C(=O)C3CN(C)C4(C(=O)c5ccccc5C4=O)C3C2=O)cc1,137655861,402.4,2.8,74.8,0,5,2
Oc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1,164625316,307.4,4.1,36.6,1,3,3
O=C(c1ccccc1)c1c(C2CCN(Cc3ccccc3)CC2)oc2ccccc12,164621368,395.5,5.8,33.5,0,3,5
